REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,Board of Regents of the University of Oklahoma,University,Norman,OK,"FIA Card Services, N.A.",,,1689,1000000,206
2009,"The Leland Stanford Junior University by Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation","Alumni Association, University",Stanford,CA,"FIA Card Services, N.A.",,,16907,1000000,97
2009,UCLA Alumni Association,Alumni Association,Los Angeles,CA,"FIA Card Services, N.A.",,,28317,980474,624
2009,National Alumni Associationof the University of Alabama,Alumni Association,Tuscaloosa,AL,"FIA Card Services, N.A.",,,15090,960000,295
2009,University of Minnesota Alumni Association,Alumni Association,Minneapolis,MN,"FIA Card Services, N.A.",,,391,952325,413
2009,Cornell Alumni Federation,Alumni Association,Ithaca,NY,Chase Bank,,,10361,901900,4
2009,Houston Alumni Organization,Alumni Association,Houston,TX,Chase Bank,,,5592,828000,2
2009,The Alumni Associationof the University of Kansas,Alumni Association,Lawrence ,KS,"INTRUST Bank, N.A.",,,13174,802019,471
2009,St. John's University ,University,Jamaica,NY,"FIA Card Services, N.A.",,,10050,740000,102
2009,University of Pittsburgh of the Commonwealth System of Higher Education,University,Pittsburgh,PA,"FIA Card Services, N.A.",,,6580,722222,169
2009,Michigan State University,University,East Lansing,MI,"FIA Card Services, N.A.",,,22685,693159,264
2009,Trustees of the University of Pennsylvania,University,Philadelphia,PA,"FIA Card Services, N.A.",,,11882,650000,272
2009,"Florida International University Foundation, Inc.",Foundation,Miami,FL,"FIA Card Services, N.A.",,,8424,630000,201
2009,The Trustees of Columbia University in the City of New York,University,New York,NY,"FIA Card Services, N.A.",,,9736,624306,172
2009,Georgia Tech Alumni Association,Alumni Association,Atlanta,GA,"FIA Card Services, N.A.",,,10848,620000,327
2009,University of Missouri Alumni Association,Alumni Association,Columbia,MO,"FIA Card Services, N.A.",,,11872,611976,267
2009,University of Colorado Foundation,Foundation,Boulder,CO,"FIA Card Services, N.A.",,,9835,600000,85
2009,Oklahoma State University Alumni Association,Alumni Association,Stillwater,OK,Chase Bank,,,8459,600000,6
2009,Kansas State University Alumni Association,Alumni Association,Manhattan,KS,"INTRUST Bank, N.A.",,,13527,594290,370
2009,"University of South Florida Alumni Association, Inc.",Alumni Association,Tampa,FL,"FIA Card Services, N.A.",,,3290,585715,328
2009,"The Association of Alumni, Former Students, and Friends of SIU",Alumni Association,Carbondale,IL,Chase Bank,,,4672,575065,-
2009,University of New Mexico Alumni Association,Alumni Association,Albuquerque,NM,"FIA Card Services, N.A.",,,2773,571430,86
2009,Iowa State University Alumni Association,Alumni Association,Ames,IA,"FIA Card Services, N.A.",,,15371,537000,173
2009,"The United States Naval Academy Alumni Association, Inc.",Alumni Association,Annapolis,MD,Chase Bank,,,10266,510480,49
2009,"University of Maryland Alumni Association, Inc. and M Club Foundation, University of Maryland, Inc.","Alumni Association, Foundation",College Park,MD,Chase Bank,,,9429,500000,-
2009,"Rutgers University Alumni Federation and Rutgers, the State University of New Jersey","Alumni Association, University",New Brunswick,NJ,U.S. Bank National Association ND,,,10879,500000,851
2009,West Point Association of Graduates,Alumni Association,West Point,NY,"FIA Card Services, N.A.",,,6417,500000,219
2009,Syracuse University,University,Syracuse,NY,"FIA Card Services, N.A.",,,9374,500000,197
2009,Texas Tech Alumni Association,Alumni Association,Lubbock,TX,Chase Bank,,,8889,473445,58
2009,University of Louisville,University,Louisville,KY,"FIA Card Services, N.A.",,,929,464286,80
2009,"Oregon State University Alumni Association, Inc.",Alumni Association,Corvallis,OR,Chase Bank,,,4790,453571.42,8
2009,"Clemson Alumni Association and Clemson University Foundation, Inc.","Alumni Association, Foundation",Clemson,SC,"FIA Card Services, N.A.",,,14114,450000,217
2009,Northwestern University,University,Evanston,IL,GE Capital Retail Bank,,,465,428572,27
2009,The Trustees of Princeton University,University,Princeton,NJ,"FIA Card Services, N.A.",,,1749,425000,118
2009,"University of Oregon Alumni Association, Inc.",Alumni Association,Eugene,OR,Chase Bank,,,4877,417857.14,1
2009,"University of Florida Alumni Association, Inc. and The University Athletic Association, Inc.","Alumni Association, Other",Gainesville,FL,Chase Bank,,,13983,400000,236
2009,Villanova University,University,Villanova,PA,"FIA Card Services, N.A.",,,5830,400000,84
2009,Brown Alumni Association,Alumni Association,Providence,RI,"FIA Card Services, N.A.",,,6625,364650,83
2009,American Association for Justice,Other,Washington,DC,"FIA Card Services, N.A.",,,8691,364033,75
2009,The Association of the Alumni and Alumnae of the Massachusetts Institute of Technology,Alumni Association,Cambridge,MA,"FIA Card Services, N.A.",,,1781,357143,83
2009,Trustees of Boston University,University,Boston,MA,U.S. Bank National Association ND,,,6001,350000,612
2009,"University of Massachusetts Amherst Alumni Association, Inc.",Alumni Association,Amherst,MA,"FIA Card Services, N.A.",,,2594,350000,231
2009,Mississippi State University Alumni Association,Alumni Association,Mississippi State,MS,"FIA Card Services, N.A.",,,7499,350000,91
2009,The William and Mary Alumni Association,Alumni Association,Williamsburg,VA,"FIA Card Services, N.A.",,,5644,340000,44
2009,University of Hawaii at Manoa,University,Honolulu,HI,"FIA Card Services, N.A.",,,6193,327267,59
2009,"Wichita State University Alumni Association, Inc.",Alumni Association,Wichita,KS,"INTRUST Bank, N.A.",,,3803,321667,261
2009,"California State University, Northridge Alumni Association",Alumni Association,Northridge,CA,Chase Bank,,,2844,310000,-
2009,University of Cincinnati,University,Cincinnati,OH,"FIA Card Services, N.A.",,,272,301650,161
2009,University of Central Florida Alumni Association,Alumni Association,Orlando,FL,"FIA Card Services, N.A.",,,11111,300000,250
2009,Washington State University Alumni Association,Alumni Association,Pullman,WA,"FIA Card Services, N.A.",,,8928,300000,218
2009,The University of Chicago,University,Chicago,IL,Chase Bank,,,3313,300000,2
2009,American Chemical Society,Other,Washington,DC,"FIA Card Services, N.A.",,,7190,294215,92
2009,Fordham University,University,Bronx,NY,"FIA Card Services, N.A.",,,8280,290000,120
2009,Colorado State University Alumni Association,Alumni Association,Fort Collins,CO,U.S. Bank National Association ND,,,5466,280000,313
2009,University of Utah Alumni Association,Alumni Association,Salt Lake City,UT,"FIA Card Services, N.A.",,,7726,265000,118
2009,Drexel University,University,Philadelphia,PA,U.S. Bank National Association ND,,,3394,250000,208
2009,Central Michigan University,University,Mount Pleasant,MI,"FIA Card Services, N.A.",,,200,250000,186
2009,University of New Hampshire Alumni Association,Alumni Association,Durham,NH,"FIA Card Services, N.A.",,,5399,243300,126
2009,University of Delaware Alumni Association,Alumni Association,Newark,DE,"FIA Card Services, N.A.",,,10268,234214,85
2009,Phi Theta Kappa International Honor Society,Other,Jackson,MS,"FIA Card Services, N.A.",,,17172,226293,265
2009,"Arkansas Alumni Association, Inc.",Alumni Association,Fayetteville,AR,"FIA Card Services, N.A.",,,4492,214120,199
2009,Northern Illinois University Alumni Association,Alumni Association,DeKalb,IL,"FIA Card Services, N.A.",,,1183,202344,158
2009,Temple University-Of the Commonwealth System of Higher Education,University,Philadelphia,PA,"FIA Card Services, N.A.",,,1644,200461,247
2009,Western Michigan University Alumni Association,Alumni Association,Kalamazoo,MI,"PNC Bank, N.A. ",,,2320,200000,321
2009,California State University-Long Beach Alumni Association,Alumni Association,Long Beach,CA,"FIA Card Services, N.A.",,,7836,200000,175
2009,California Aggie Alumni Association,Alumni Association,Davis,CA,"FIA Card Services, N.A.",,,184,200000,160
2009,University of Rhode Island Alumni Association,Alumni Association,Kingston,RI,"FIA Card Services, N.A.",,,4624,200000,77
2009,University of Memphis,University,Memphis,TN,"FIA Card Services, N.A.",,,60,200000,66
2009,San Diego State University Campanile Foundation,Foundation,San Diego,CA,GE Capital Retail Bank,,,151,200000,5
2009,Texas Christian University,University,Fort Worth,TX,"FIA Card Services, N.A.",,,4349,185000,38
2009,State University of New York at Binghamton Alumni Association,Alumni Association,Binghamton,NY,"FIA Card Services, N.A.",,,4542,182500,87
2009,The Ex-Students Association of the University of Texas,Alumni Association,Austin,TX,"FIA Card Services, N.A.",,,33812,182029,616
2009,Institute of Management Accountants,Other,Montvale,NJ,"FIA Card Services, N.A.",,,5068,175000,24
2009,Case Western Reserve University,University,Cleveland,OH,"FIA Card Services, N.A.",,,2682,175000,24
2009,University of California-Riverside Alumni Association,Alumni Association,Riverside,CA,"FIA Card Services, N.A.",,,4981,172181,43
2009,American Veterinary Medical Association,Other,Schaumburg,IL,"FIA Card Services, N.A.",,,4853,171310,239
2009,West Virginia University Alumni Association,Alumni Association,Morgantown,WV,"FIA Card Services, N.A.",,,3962,170000,198
2009,Marquette University,University,Milwaukee,WI,"FIA Card Services, N.A.",,,3803,165000,96
2009,North Texas Exes,Alumni Association,Denton,TX,"FIA Card Services, N.A.",,,6757,163616,131
2009,"Crimson Tide Sports Marketing, LLC",University,Tuscaloosa ,AL,Compass Bank,,,0,150000,-
2009,University of Mississippi Foundation,Foundation,Oxford,MS,"FIA Card Services, N.A.",,,3888,150000,138
2009,Weber State University Alumni Association,Alumni Association,Ogden,UT,U.S. Bank National Association ND,,,1534,150000,50
2009,Association for Computing Machinery,Other,New York,NY,"FIA Card Services, N.A.",,,2316,140515,24
2009,"Bloomsburg University Foundation, Inc.",Foundation,Bloomsburg,PA,"FIA Card Services, N.A.",,,2635,140000,28
2009,University of Northern Iowa Alumni Association,Alumni Association,Cedar Falls,IA,"FIA Card Services, N.A.",,,4691,135000,82
2009,Kent State University,University,Kent,OH,"FIA Card Services, N.A.",,,5551,135000,72
2009,Montana State University Alumni Association,Alumni Association,Bozeman,MT,"FIA Card Services, N.A.",,,4909,125000,69
2009,James Madison University Alumni Association,Alumni Association,Harrisonburg,VA,"FIA Card Services, N.A.",,,525,125000,33
2009,The Honor Society of Phi Kappa Phi,Other,Baton Rouge,LA,"FIA Card Services, N.A.",,,7906,124070,155
2009,"The Foundation of the University of North Carolina at Charlotte, Inc.",Foundation,Charlotte,NC,"FIA Card Services, N.A.",,,3109,120610,77
2009,University of Connecticut Alumni AssociationInc.,Alumni Association,Storrs,CT,"FIA Card Services, N.A.",,,8603,120000,157
2009,"Florida Atlantic University Foundation, Inc.",Foundation,Boca Raton,FL,"FIA Card Services, N.A.",,,4060,120000,104
2009,Northern Arizona University Alumni Association,Alumni Association,Flagstaff,AZ,"FIA Card Services, N.A.",,,1865,117972,78
